Fitness : Violation : Position : Miscellaneous
1.7976931348623157E308 : 1.7976931348623157E308 : [0.0] : 0.0
1.7976931348623157E308 : 1.7976931348623157E308 : [0.0] : 0.0
1.7976931348623157E308 : 1.7976931348623157E308 : [0.0] : 0.0
1.7976931348623157E308 : 1.7976931348623157E308 : [0.0] : 0.0
1.7976931348623157E308 : 1.7976931348623157E308 : [0.0] : 0.0
1.7976931348623157E308 : 1.7976931348623157E308 : [0.0] : 0.0
1.7976931348623157E308 : 1.7976931348623157E308 : [0.0] : 0.0
1.7976931348623157E308 : 1.7976931348623157E308 : [0.0] : 0.0
1.7976931348623157E308 : 1.7976931348623157E308 : [0.0] : 0.0
1.7976931348623157E308 : 1.7976931348623157E308 : [0.0] : 0.0
1.7976931348623157E308 : 1.7976931348623157E308 : [0.0] : 0.0
1.7976931348623157E308 : 1.7976931348623157E308 : [0.0] : 0.0
1.7976931348623157E308 : 1.7976931348623157E308 : [0.0] : 0.0
1.7976931348623157E308 : 1.7976931348623157E308 : [0.0] : 0.0
1.7976931348623157E308 : 1.7976931348623157E308 : [0.0] : 0.0
1.7976931348623157E308 : 1.7976931348623157E308 : [0.0] : 0.0
1.7976931348623157E308 : 1.7976931348623157E308 : [0.0] : 0.0
1.7976931348623157E308 : 1.7976931348623157E308 : [0.0] : 0.0
1.7976931348623157E308 : 1.7976931348623157E308 : [0.0] : 0.0
1.7976931348623157E308 : 1.7976931348623157E308 : [0.0] : 0.0
1.7976931348623157E308 : 1.7976931348623157E308 : [0.0] : 0.0
1.7976931348623157E308 : 1.7976931348623157E308 : [0.0] : 0.0
1.7976931348623157E308 : 1.7976931348623157E308 : [0.0] : 0.0
1.7976931348623157E308 : 1.7976931348623157E308 : [0.0] : 0.0
1.7976931348623157E308 : 1.7976931348623157E308 : [0.0] : 0.0
1.7976931348623157E308 : 1.7976931348623157E308 : [0.0] : 0.0
1.7976931348623157E308 : 1.7976931348623157E308 : [0.0] : 0.0
1.7976931348623157E308 : 1.7976931348623157E308 : [0.0] : 0.0
1.7976931348623157E308 : 1.7976931348623157E308 : [0.0] : 0.0
1.7976931348623157E308 : 1.7976931348623157E308 : [0.0] : 0.0
