Fitness - Violation
-486.7852831395361 - 0.0
-462.7066050547001 - 0.0
-481.8678267259654 - 0.0
-486.2355888980968 - 0.0
-486.25857626979246 - 0.0
-470.73862615104906 - 0.0
-462.1829022973385 - 0.0
-467.92691078816455 - 0.0
-481.9456947054749 - 0.0
-484.3509831833327 - 0.0
-482.909494715343 - 0.0
-473.618181941691 - 0.0
-487.42204037353656 - 0.0
-451.5110435787831 - 0.0
-478.9404901482036 - 0.0
-474.68559650410657 - 0.0
-482.77298837786 - 0.0
-431.2195065822251 - 0.0
-484.77450000109104 - 0.0
-482.0199715459458 - 0.0
-486.72923675058036 - 0.0
-464.9798777680094 - 0.0
-483.6833929044982 - 0.0
-481.3340497703359 - 0.0
-486.52038432742336 - 0.0
-487.43599208037676 - 0.0
-486.70867120392916 - 0.0
-487.6606537665873 - 0.0
-469.3601897832065 - 0.0
-484.47186365186917 - 0.0
