Fitness - Violation
1.9165867963126162E14 - 0.0
1.67817178225772E14 - 0.0
1.9794573278752394E14 - 0.0
1.782789083572523E14 - 0.0
1.8537396682444872E14 - 0.0
1.8828290476439803E14 - 0.0
2.151057565284499E14 - 0.0
1.756313000095949E14 - 0.0
2.3357088954103497E14 - 0.0
2.25773959031331E14 - 0.0
1.0183440228060708E14 - 0.0
1.4146330510799234E14 - 0.0
2.1194745074516747E14 - 0.0
2.5051775094934344E14 - 0.0
2.4388811635940884E14 - 0.0
1.7652861688587544E14 - 0.0
2.2725582345004622E14 - 0.0
1.1284465971051502E14 - 0.0
1.3797593492848167E14 - 0.0
7.593535615273394E13 - 0.0
1.70946435103911E14 - 0.0
2.1732060553951144E14 - 0.0
2.1190037240753578E14 - 0.0
1.9580696063478072E14 - 0.0
2.2892495330393556E14 - 0.0
1.534967340641287E14 - 0.0
1.9481957684794188E14 - 0.0
1.3683713055412586E14 - 0.0
1.8598122092307175E14 - 0.0
2.4759152670271347E14 - 0.0
