Fitness - Violation
4.457137254174584E7 - 0.0
5.3145095366016455E7 - 0.0
7.1520913757637E7 - 0.0
8.275363721591528E7 - 0.0
4.942983538825252E7 - 0.0
3.673702274794857E7 - 0.0
7.401445178141391E7 - 0.0
4.249998432311295E7 - 0.0
3.410306039562336E7 - 0.0
1.5463668933800455E7 - 0.0
6.8391945849979E7 - 0.0
7.169620537095839E7 - 0.0
4.2304723026532955E7 - 0.0
5.369004959670126E7 - 0.0
3.16783774812267E7 - 0.0
5.13357477579147E7 - 0.0
5.892180635869431E7 - 0.0
4.526630567281566E7 - 0.0
3.681326621934351E7 - 0.0
6.6092721630397394E7 - 0.0
3.573398367994247E7 - 0.0
7.164008097800672E7 - 0.0
4.1710807877922505E7 - 0.0
2.1116999562482856E7 - 0.0
4.850051200818809E7 - 0.0
4.063428167381092E7 - 0.0
3.5974430215987936E7 - 0.0
6.2379983479827635E7 - 0.0
4.351445516449925E7 - 0.0
5.275292561269024E7 - 0.0
