C13_30D, FeasibilityRate, MeanFitness, MeanViolation, BestFitness, ViolationForBestFitness
NoCHT,0.0,-327.9743950481082,582.838974929631,-350.5895493184304,576.6885482860868
BrickWall,0.0,NaN,NaN,1.7976931348623157E308,1.7976931348623157E308
PenaltyMean,0.0,-119.41535651195399,249.45418411785337,-144.77249714505902,271.6452080762883
PenaltyMax,0.0,-110.50101495523701,267.88228023639925,-134.86602538456225,329.8540220250184
PieceWiseStd,0.0,-101.00193147631043,262.02200457550657,-127.12527051886536,284.6238961143953
PieceWisePOC,46.666666666666664,NaN,140.0943793969735,-83.87210235638564,250.68284048517003
PieceWiseEpsilon,0.0,-118.65506003356877,239.11020065488,-164.91635006449457,267.2247371423189
